City,Country,Max Temp,Description,Lat,Lng,Hotel Name
Gondanglegi,ID,75.29,clear sky,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
Chivolo,CO,78.53,few clouds,10.025,-74.6228,Ana Villadiego Monrroy
Prachuap Khiri Khan,TH,61.99,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
Marsa Matruh,EG,64.85,clear sky,31.3525,27.2453,Beau Site
Koroni,GR,61.07,broken clouds,36.8,21.95,Apartments Xenios Zeus 1
Ahipara,NZ,70.88,clear sky,-35.1667,173.1667,Ahipara Holiday Park
Nautla,MX,70.05,broken clouds,20.2167,-96.7833,Casa Blanca
Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
Byron Bay,AU,70.95,overcast clouds,-28.65,153.6167,Backpackers Inn
Mogadishu,SO,77.59,broken clouds,2.0371,45.3438,Hotel Juba
Windhoek,,66.11,clear sky,-22.5594,17.0832,Hotel Uhland
Prabumulih,ID,73.04,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih Syariah
Narasannapeta,IN,64.44,broken clouds,18.4167,84.05,AVK events and catering
Kiama,AU,67.37,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
Hurghada,EG,64.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
Watsonville,US,61.25,clear sky,36.9102,-121.7569,"Holiday Inn Express & Suites Watsonville, an IHG Hotel"
Puerto Lempira,HN,77.52,clear sky,15.2667,-83.7667,Polloki
Acarau,BR,79.32,overcast clouds,-2.8856,-40.12,castelo pizzaria
Belmonte,BR,76.93,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
Alto Araguaia,BR,71.19,light rain,-17.3147,-53.2153,Araguaia Palace Hotel
Batemans Bay,AU,63.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
Vao,NC,78.94,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
Grootfontein,,74.77,broken clouds,-19.5667,18.1167,Meteor Travel Inn
Kindu,CD,68.76,light rain,-2.95,25.95,Résidence Okanda
Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
Mbandaka,CD,72.27,overcast clouds,0.0487,18.2603,Guest House Epervier
Senanga,ZM,67.96,overcast clouds,-16.1167,23.2667,Zango lodge
Yanam,IN,68.54,broken clouds,16.7333,82.2167,The Regency Hotel
Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Carutapera,BR,78.57,scattered clouds,-1.195,-46.02,Lidera
Kalmunai,LK,75.38,overcast clouds,7.4167,81.8167,VS Villa
Shakawe,BW,75.74,broken clouds,-18.3667,21.85,EdenWood Guesthouse
Kouroussa,GN,75.06,scattered clouds,10.65,-9.8833,Kadiatou Fofana
Sambava,MG,74.1,light rain,-14.2667,50.1667,Melrose
Camapua,BR,71.06,overcast clouds,-19.5314,-54.0439,Comercial Estrela
Buenos Aires,AR,75.99,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
Santa Maria,BR,70.9,scattered clouds,-29.6842,-53.8069,Hotel Morotin
Wum,CM,66.52,scattered clouds,6.3833,10.0667,Wum Council Hall
Shwebo,MM,67.42,broken clouds,22.5667,95.7,MOON SHINE Guest House
Cabo San Lucas,MX,74.17,few clouds,22.8909,-109.9124,Hotel Tesoro
Riohacha,CO,77.45,clear sky,11.5444,-72.9072,Hotel Taroa
Ponta Do Sol,PT,70.0,overcast clouds,32.6667,-17.1,Hotel do Campo
Sao Filipe,CV,76.46,scattered clouds,14.8961,-24.4956,Hotel Xaguate
Tuy Hoa,VN,69.17,overcast clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
Amalapuram,IN,67.46,broken clouds,16.5833,82.0167,swayamprabha service apartments
Lira,UG,67.91,broken clouds,2.235,32.9097,ST Lira Hotel Limited
Sungaipenuh,ID,62.73,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
Colac,AU,64.83,clear sky,-38.3333,143.5833,Otway Gate Motel
Brawley,US,65.01,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
Barra Do Bugres,BR,72.14,heavy intensity rain,-15.0725,-57.1811,Hotel 4AM Petrofurt
Lima,PE,70.05,few clouds,-12.0432,-77.0282,Hotel Kamana
Qui Nhon,VN,66.85,overcast clouds,13.7667,109.2333,Seagull Hotel
Alice Springs,AU,78.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
Kolondieba,ML,75.22,scattered clouds,11.0882,-6.8926,Park
Los Angeles,US,67.53,clear sky,34.0522,-118.2437,Kawada Hotel
Poli,TZ,60.66,scattered clouds,-3.3333,36.8,Urafiki House
Yulara,AU,77.27,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Palladam,IN,71.8,broken clouds,10.9833,77.3,SA Residency
Veraval,IN,75.13,few clouds,20.9,70.3667,Lords Inn Somnath
Namibe,AO,69.55,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
Gweta,BW,78.91,overcast clouds,-20.1833,25.2333,Gweta Lodge
Ofaqim,IL,61.72,clear sky,31.3141,34.6203,The Negev Experience
Foz,ES,60.4,overcast clouds,43.5692,-7.2544,Hotel Balcón de San Bartolo
Port Lincoln,AU,70.79,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
Carlsbad,US,67.95,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
Sabang,ID,78.13,light rain,5.8933,95.3214,Hotel Citra
Ramos Arizpe,MX,68.83,broken clouds,25.55,-100.9667,Mario's Inn
